transaction_id,transaction_date,transaction_time,order_id,day_of_week,hour,transaction_qty,store_id,store_location,product_id,unit_price,total_sale,product_category,product_type,product_size,product_detail
46,01/01/2023,09:13:01 a. m.,26,Domingo,9,1,5,Lower Manhattan,44,2.50,2.50,tea,Brewed herbal tea,Rg,Peppermint Rg
47,01/01/2023,09:13:15 a. m.,27,Domingo,9,2,5,Lower Manhattan,56,2.55,5.10,tea,Brewed Chai tea,Rg,Spicy Eye Opener Chai Rg
48,01/01/2023,09:14:16 a. m.,28,Domingo,9,1,5,Lower Manhattan,48,2.50,2.50,tea,Brewed Black tea,Rg,English Breakfast Rg
52,01/01/2023,09:15:09 a. m.,29,Domingo,9,2,5,Lower Manhattan,47,3.00,6.00,tea,Brewed Green tea,Lg,Serenity Green Tea Lg
53,01/01/2023,09:15:13 a. m.,30,Domingo,9,2,5,Lower Manhattan,43,3.00,6.00,tea,Brewed herbal tea,Lg,Lemon Grass Lg
54,01/01/2023,09:19:21 a. m.,31,Domingo,9,2,5,Lower Manhattan,25,2.20,4.40,coffee,Organic brewed coffee,Sm,Brazilian Sm
56,01/01/2023,09:21:08 a. m.,32,Domingo,9,1,5,Lower Manhattan,38,3.75,3.75,coffee,Barista Espresso,Estándar,Latte
58,01/01/2023,09:22:46 a. m.,33,Domingo,9,1,5,Lower Manhattan,34,2.45,2.45,coffee,Premium brewed coffee,Sm,Jamaican Coffee River Sm
63,01/01/2023,09:40:13 a. m.,34,Domingo,9,1,5,Lower Manhattan,41,4.25,4.25,coffee,Barista Espresso,Lg,Cappuccino Lg
64,01/01/2023,09:41:22 a. m.,35,Domingo,9,2,5,Lower Manhattan,45,3.00,6.00,tea,Brewed herbal tea,Lg,Peppermint Lg
65,01/01/2023,09:41:22 a. m.,35,Domingo,9,1,5,Lower Manhattan,79,3.75,3.75,bakery,Scone,Estándar,Jumbo Savory Scone
66,01/01/2023,09:44:20 a. m.,36,Domingo,9,2,5,Lower Manhattan,54,2.50,5.00,tea,Brewed Chai tea,Rg,Morning Sunrise Chai Rg
67,01/01/2023,09:44:46 a. m.,37,Domingo,9,1,5,Lower Manhattan,24,3.00,3.00,coffee,Drip coffee,Lg,Our Old Time Diner Blend Lg
68,01/01/2023,09:46:46 a. m.,38,Domingo,9,2,5,Lower Manhattan,37,3.00,6.00,coffee,Barista Espresso,Estándar,Espresso shot
70,01/01/2023,09:50:44 a. m.,39,Domingo,9,2,5,Lower Manhattan,37,3.00,6.00,coffee,Barista Espresso,Estándar,Espresso shot
71,01/01/2023,09:50:44 a. m.,39,Domingo,9,1,5,Lower Manhattan,69,3.25,3.25,bakery,Biscotti,Estándar,Hazelnut Biscotti
72,01/01/2023,09:52:58 a. m.,40,Domingo,9,1,5,Lower Manhattan,50,2.50,2.50,tea,Brewed Black tea,Rg,Earl Grey Rg
77,01/01/2023,09:54:46 a. m.,41,Domingo,9,1,5,Lower Manhattan,23,2.50,2.50,coffee,Drip coffee,Rg,Our Old Time Diner Blend Rg
78,01/01/2023,09:55:16 a. m.,42,Domingo,9,2,5,Lower Manhattan,43,3.00,6.00,tea,Brewed herbal tea,Lg,Lemon Grass Lg
82,01/01/2023,10:14:49 a. m.,43,Domingo,10,1,5,Lower Manhattan,26,3.00,3.00,coffee,Organic brewed coffee,Rg,Brazilian Rg
83,01/01/2023,10:14:49 a. m.,43,Domingo,10,1,5,Lower Manhattan,71,3.75,3.75,bakery,Pastry,Estándar,Chocolate Croissant
84,01/01/2023,10:16:30 a. m.,44,Domingo,10,2,5,Lower Manhattan,32,3.00,6.00,coffee,Gourmet brewed coffee,Rg,Ethiopia Rg
87,01/01/2023,10:18:52 a. m.,45,Domingo,10,2,5,Lower Manhattan,25,2.20,4.40,coffee,Organic brewed coffee,Sm,Brazilian Sm
88,01/01/2023,10:19:42 a. m.,46,Domingo,10,2,5,Lower Manhattan,23,2.50,5.00,coffee,Drip coffee,Rg,Our Old Time Diner Blend Rg
91,01/01/2023,10:25:45 a. m.,47,Domingo,10,2,5,Lower Manhattan,58,3.50,7.00,drinking chocolate,Hot chocolate,Rg,Dark chocolate Rg
92,01/01/2023,10:25:45 a. m.,47,Domingo,10,1,5,Lower Manhattan,74,3.50,3.50,bakery,Biscotti,Estándar,Ginger Biscotti
94,01/01/2023,10:30:07 a. m.,48,Domingo,10,1,5,Lower Manhattan,35,3.10,3.10,coffee,Premium brewed coffee,Rg,Jamaican Coffee River Rg
95,01/01/2023,10:30:07 a. m.,48,Domingo,10,1,5,Lower Manhattan,70,3.25,3.25,bakery,Scone,Estándar,Cranberry Scone
97,01/01/2023,10:41:53 a. m.,49,Domingo,10,1,5,Lower Manhattan,59,4.50,4.50,drinking chocolate,Hot chocolate,Lg,Dark chocolate Lg
98,01/01/2023,10:47:53 a. m.,50,Domingo,10,2,5,Lower Manhattan,36,3.75,7.50,coffee,Premium brewed coffee,Lg,Jamaican Coffee River Lg
100,01/01/2023,10:49:51 a. m.,51,Domingo,10,2,5,Lower Manhattan,61,4.75,9.50,drinking chocolate,Hot chocolate,Lg,Sustainably Grown Organic Lg
101,01/01/2023,10:51:17 a. m.,52,Domingo,10,1,5,Lower Manhattan,47,3.00,3.00,tea,Brewed Green tea,Lg,Serenity Green Tea Lg
104,01/01/2023,10:56:14 a. m.,53,Domingo,10,1,5,Lower Manhattan,38,3.75,3.75,coffee,Barista Espresso,Estándar,Latte
105,01/01/2023,10:56:14 a. m.,53,Domingo,10,1,5,Lower Manhattan,76,3.50,3.50,bakery,Biscotti,Estándar,Chocolate Chip Biscotti
109,01/01/2023,11:03:25 a. m.,54,Domingo,11,2,5,Lower Manhattan,47,3.00,6.00,tea,Brewed Green tea,Lg,Serenity Green Tea Lg
110,01/01/2023,11:03:25 a. m.,54,Domingo,11,1,5,Lower Manhattan,75,3.50,3.50,bakery,Pastry,Estándar,Croissant
121,01/01/2023,11:21:04 a. m.,55,Domingo,11,2,5,Lower Manhattan,51,3.00,6.00,tea,Brewed Black tea,Lg,Earl Grey Lg
124,01/01/2023,11:23:43 a. m.,56,Domingo,11,2,5,Lower Manhattan,60,3.75,7.50,drinking chocolate,Hot chocolate,Rg,Sustainably Grown Organic Rg
125,01/01/2023,11:23:43 a. m.,56,Domingo,11,1,5,Lower Manhattan,77,3.00,3.00,bakery,Scone,Estándar,Oatmeal Scone
127,01/01/2023,11:25:37 a. m.,57,Domingo,11,2,5,Lower Manhattan,40,3.75,7.50,coffee,Barista Espresso,Estándar,Cappuccino
130,01/01/2023,11:29:25 a. m.,58,Domingo,11,2,5,Lower Manhattan,56,2.55,5.10,tea,Brewed Chai tea,Rg,Spicy Eye Opener Chai Rg
135,01/01/2023,11:31:43 a. m.,59,Domingo,11,2,5,Lower Manhattan,51,3.00,6.00,tea,Brewed Black tea,Lg,Earl Grey Lg
136,01/01/2023,11:31:43 a. m.,59,Domingo,11,1,5,Lower Manhattan,72,3.25,3.25,bakery,Scone,Estándar,Ginger Scone
137,01/01/2023,11:31:53 a. m.,60,Domingo,11,2,5,Lower Manhattan,54,2.50,5.00,tea,Brewed Chai tea,Rg,Morning Sunrise Chai Rg
138,01/01/2023,11:31:53 a. m.,60,Domingo,11,1,5,Lower Manhattan,75,3.50,3.50,bakery,Pastry,Estándar,Croissant
139,01/01/2023,11:39:14 a. m.,61,Domingo,11,1,5,Lower Manhattan,60,3.75,3.75,drinking chocolate,Hot chocolate,Rg,Sustainably Grown Organic Rg
140,01/01/2023,11:39:14 a. m.,61,Domingo,11,1,5,Lower Manhattan,71,3.75,3.75,bakery,Pastry,Estándar,Chocolate Croissant
143,01/01/2023,11:44:09 a. m.,62,Domingo,11,1,5,Lower Manhattan,38,3.75,3.75,coffee,Barista Espresso,Estándar,Latte
150,01/01/2023,11:50:58 a. m.,63,Domingo,11,2,5,Lower Manhattan,45,3.00,6.00,tea,Brewed herbal tea,Lg,Peppermint Lg
152,01/01/2023,11:52:31 a. m.,64,Domingo,11,1,5,Lower Manhattan,57,3.10,3.10,tea,Brewed Chai tea,Lg,Spicy Eye Opener Chai Lg
157,01/01/2023,12:00:20 p. m.,65,Domingo,12,1,5,Lower Manhattan,29,2.50,2.50,coffee,Gourmet brewed coffee,Rg,Columbian Medium Roast Rg
166,01/01/2023,12:06:29 p. m.,66,Domingo,12,1,5,Lower Manhattan,46,2.50,2.50,tea,Brewed Green tea,Rg,Serenity Green Tea Rg
168,01/01/2023,12:08:21 p. m.,67,Domingo,12,1,5,Lower Manhattan,43,3.00,3.00,tea,Brewed herbal tea,Lg,Lemon Grass Lg
172,01/01/2023,12:13:07 p. m.,68,Domingo,12,2,5,Lower Manhattan,38,3.75,7.50,coffee,Barista Espresso,Estándar,Latte
175,01/01/2023,12:18:07 p. m.,69,Domingo,12,2,5,Lower Manhattan,25,2.20,4.40,coffee,Organic brewed coffee,Sm,Brazilian Sm
179,01/01/2023,12:27:06 p. m.,70,Domingo,12,2,5,Lower Manhattan,41,4.25,8.50,coffee,Barista Espresso,Lg,Cappuccino Lg
184,01/01/2023,12:35:53 p. m.,71,Domingo,12,2,5,Lower Manhattan,31,2.20,4.40,coffee,Gourmet brewed coffee,Sm,Ethiopia Sm
201,01/01/2023,12:51:57 p. m.,72,Domingo,12,1,5,Lower Manhattan,61,4.75,4.75,drinking chocolate,Hot chocolate,Lg,Sustainably Grown Organic Lg
202,01/01/2023,12:51:57 p. m.,72,Domingo,12,1,5,Lower Manhattan,72,3.25,3.25,bakery,Scone,Estándar,Ginger Scone
203,01/01/2023,12:52:18 p. m.,73,Domingo,12,1,5,Lower Manhattan,56,2.55,2.55,tea,Brewed Chai tea,Rg,Spicy Eye Opener Chai Rg
204,01/01/2023,12:52:18 p. m.,73,Domingo,12,1,5,Lower Manhattan,75,3.50,3.50,bakery,Pastry,Estándar,Croissant
208,01/01/2023,12:55:27 p. m.,74,Domingo,12,1,5,Lower Manhattan,57,3.10,3.10,tea,Brewed Chai tea,Lg,Spicy Eye Opener Chai Lg
209,01/01/2023,12:55:27 p. m.,74,Domingo,12,1,5,Lower Manhattan,75,3.50,3.50,bakery,Pastry,Estándar,Croissant
216,01/01/2023,01:00:38 p. m.,75,Domingo,13,2,5,Lower Manhattan,30,3.00,6.00,coffee,Gourmet brewed coffee,Lg,Columbian Medium Roast Lg
217,01/01/2023,01:01:33 p. m.,76,Domingo,13,2,5,Lower Manhattan,25,2.20,4.40,coffee,Organic brewed coffee,Sm,Brazilian Sm
228,01/01/2023,01:07:37 p. m.,77,Domingo,13,2,5,Lower Manhattan,24,3.00,6.00,coffee,Drip coffee,Lg,Our Old Time Diner Blend Lg
230,01/01/2023,01:12:03 p. m.,78,Domingo,13,2,5,Lower Manhattan,30,3.00,6.00,coffee,Gourmet brewed coffee,Lg,Columbian Medium Roast Lg
231,01/01/2023,01:13:09 p. m.,79,Domingo,13,1,5,Lower Manhattan,60,3.75,3.75,drinking chocolate,Hot chocolate,Rg,Sustainably Grown Organic Rg
241,01/01/2023,01:22:11 p. m.,80,Domingo,13,1,5,Lower Manhattan,23,2.50,2.50,coffee,Drip coffee,Rg,Our Old Time Diner Blend Rg
244,01/01/2023,01:24:29 p. m.,81,Domingo,13,2,5,Lower Manhattan,60,3.75,7.50,drinking chocolate,Hot chocolate,Rg,Sustainably Grown Organic Rg
245,01/01/2023,01:30:49 p. m.,82,Domingo,13,2,5,Lower Manhattan,31,2.20,4.40,coffee,Gourmet brewed coffee,Sm,Ethiopia Sm
246,01/01/2023,01:32:07 p. m.,83,Domingo,13,2,5,Lower Manhattan,25,2.20,4.40,coffee,Organic brewed coffee,Sm,Brazilian Sm
247,01/01/2023,01:32:34 p. m.,84,Domingo,13,1,5,Lower Manhattan,87,3.00,3.00,coffee,Barista Espresso,Estándar,Ouro Brasileiro shot
251,01/01/2023,01:39:41 p. m.,85,Domingo,13,1,5,Lower Manhattan,51,3.00,3.00,tea,Brewed Black tea,Lg,Earl Grey Lg
255,01/01/2023,01:42:49 p. m.,86,Domingo,13,1,5,Lower Manhattan,36,3.75,3.75,coffee,Premium brewed coffee,Lg,Jamaican Coffee River Lg
256,01/01/2023,01:42:58 p. m.,87,Domingo,13,1,5,Lower Manhattan,52,2.50,2.50,tea,Brewed Chai tea,Rg,Traditional Blend Chai Rg
257,01/01/2023,01:42:58 p. m.,87,Domingo,13,1,5,Lower Manhattan,72,3.25,3.25,bakery,Scone,Estándar,Ginger Scone
260,01/01/2023,01:43:41 p. m.,88,Domingo,13,2,5,Lower Manhattan,25,2.20,4.40,coffee,Organic brewed coffee,Sm,Brazilian Sm
264,01/01/2023,01:50:09 p. m.,89,Domingo,13,1,5,Lower Manhattan,53,3.00,3.00,tea,Brewed Chai tea,Lg,Traditional Blend Chai Lg
270,01/01/2023,01:55:04 p. m.,90,Domingo,13,1,5,Lower Manhattan,42,2.50,2.50,tea,Brewed herbal tea,Rg,Lemon Grass Rg
274,01/01/2023,01:57:34 p. m.,91,Domingo,13,2,5,Lower Manhattan,27,3.50,7.00,coffee,Organic brewed coffee,Lg,Brazilian Lg
275,01/01/2023,01:57:34 p. m.,91,Domingo,13,1,5,Lower Manhattan,71,3.75,3.75,bakery,Pastry,Estándar,Chocolate Croissant
277,01/01/2023,01:58:11 p. m.,92,Domingo,13,1,5,Lower Manhattan,34,2.45,2.45,coffee,Premium brewed coffee,Sm,Jamaican Coffee River Sm
278,01/01/2023,01:59:58 p. m.,93,Domingo,13,2,5,Lower Manhattan,39,4.25,8.50,coffee,Barista Espresso,Rg,Latte Rg
279,01/01/2023,02:03:34 p. m.,94,Domingo,14,2,5,Lower Manhattan,25,2.20,4.40,coffee,Organic brewed coffee,Sm,Brazilian Sm
280,01/01/2023,02:03:34 p. m.,94,Domingo,14,1,5,Lower Manhattan,69,3.25,3.25,bakery,Biscotti,Estándar,Hazelnut Biscotti
287,01/01/2023,02:13:28 p. m.,95,Domingo,14,2,5,Lower Manhattan,57,3.10,6.20,tea,Brewed Chai tea,Lg,Spicy Eye Opener Chai Lg
288,01/01/2023,02:19:57 p. m.,96,Domingo,14,2,5,Lower Manhattan,23,2.50,5.00,coffee,Drip coffee,Rg,Our Old Time Diner Blend Rg
292,01/01/2023,02:22:38 p. m.,97,Domingo,14,2,5,Lower Manhattan,39,4.25,8.50,coffee,Barista Espresso,Rg,Latte Rg
298,01/01/2023,02:25:39 p. m.,98,Domingo,14,2,5,Lower Manhattan,24,3.00,6.00,coffee,Drip coffee,Lg,Our Old Time Diner Blend Lg
300,01/01/2023,02:29:05 p. m.,99,Domingo,14,2,5,Lower Manhattan,45,3.00,6.00,tea,Brewed herbal tea,Lg,Peppermint Lg
301,01/01/2023,02:29:50 p. m.,100,Domingo,14,2,5,Lower Manhattan,49,3.00,6.00,tea,Brewed Black tea,Lg,English Breakfast Lg
302,01/01/2023,02:29:50 p. m.,100,Domingo,14,1,5,Lower Manhattan,78,4.50,4.50,bakery,Scone,Estándar,Scottish Cream Scone 
304,01/01/2023,02:30:58 p. m.,101,Domingo,14,1,5,Lower Manhattan,57,3.10,3.10,tea,Brewed Chai tea,Lg,Spicy Eye Opener Chai Lg
305,01/01/2023,02:31:26 p. m.,102,Domingo,14,1,5,Lower Manhattan,42,2.50,2.50,tea,Brewed herbal tea,Rg,Lemon Grass Rg
307,01/01/2023,02:32:42 p. m.,103,Domingo,14,2,5,Lower Manhattan,41,4.25,8.50,coffee,Barista Espresso,Lg,Cappuccino Lg
311,01/01/2023,02:36:35 p. m.,104,Domingo,14,1,5,Lower Manhattan,57,3.10,3.10,tea,Brewed Chai tea,Lg,Spicy Eye Opener Chai Lg
312,01/01/2023,02:37:48 p. m.,105,Domingo,14,1,5,Lower Manhattan,44,2.50,2.50,tea,Brewed herbal tea,Rg,Peppermint Rg
313,01/01/2023,02:39:06 p. m.,106,Domingo,14,1,5,Lower Manhattan,87,3.00,3.00,coffee,Barista Espresso,Estándar,Ouro Brasileiro shot
315,01/01/2023,02:42:39 p. m.,107,Domingo,14,2,5,Lower Manhattan,61,4.75,9.50,drinking chocolate,Hot chocolate,Lg,Sustainably Grown Organic Lg
322,01/01/2023,02:51:19 p. m.,108,Domingo,14,2,5,Lower Manhattan,43,3.00,6.00,tea,Brewed herbal tea,Lg,Lemon Grass Lg
328,01/01/2023,03:06:27 p. m.,109,Domingo,15,2,5,Lower Manhattan,25,2.20,4.40,coffee,Organic brewed coffee,Sm,Brazilian Sm
332,01/01/2023,03:10:10 p. m.,110,Domingo,15,1,5,Lower Manhattan,40,3.75,3.75,coffee,Barista Espresso,Estándar,Cappuccino
333,01/01/2023,03:10:10 p. m.,110,Domingo,15,1,5,Lower Manhattan,75,3.50,3.50,bakery,Pastry,Estándar,Croissant
337,01/01/2023,03:16:37 p. m.,111,Domingo,15,2,5,Lower Manhattan,38,3.75,7.50,coffee,Barista Espresso,Estándar,Latte
343,01/01/2023,03:25:09 p. m.,112,Domingo,15,2,5,Lower Manhattan,50,2.50,5.00,tea,Brewed Black tea,Rg,Earl Grey Rg
346,01/01/2023,03:28:54 p. m.,113,Domingo,15,1,5,Lower Manhattan,43,3.00,3.00,tea,Brewed herbal tea,Lg,Lemon Grass Lg
351,01/01/2023,03:30:58 p. m.,114,Domingo,15,1,5,Lower Manhattan,34,2.45,2.45,coffee,Premium brewed coffee,Sm,Jamaican Coffee River Sm
353,01/01/2023,03:33:36 p. m.,115,Domingo,15,2,5,Lower Manhattan,28,2.00,4.00,coffee,Gourmet brewed coffee,Sm,Columbian Medium Roast Sm
354,01/01/2023,03:33:36 p. m.,115,Domingo,15,1,5,Lower Manhattan,74,3.50,3.50,bakery,Biscotti,Estándar,Ginger Biscotti
357,01/01/2023,03:36:59 p. m.,116,Domingo,15,2,5,Lower Manhattan,37,3.00,6.00,coffee,Barista Espresso,Estándar,Espresso shot
361,01/01/2023,03:46:34 p. m.,117,Domingo,15,2,5,Lower Manhattan,40,3.75,7.50,coffee,Barista Espresso,Estándar,Cappuccino
363,01/01/2023,03:52:23 p. m.,118,Domingo,15,2,5,Lower Manhattan,39,4.25,8.50,coffee,Barista Espresso,Rg,Latte Rg
364,01/01/2023,03:52:23 p. m.,118,Domingo,15,1,5,Lower Manhattan,69,3.25,3.25,bakery,Biscotti,Estándar,Hazelnut Biscotti
365,01/01/2023,03:53:55 p. m.,119,Domingo,15,2,5,Lower Manhattan,33,3.50,7.00,coffee,Gourmet brewed coffee,Lg,Ethiopia Lg
383,01/01/2023,04:19:26 p. m.,120,Domingo,16,2,5,Lower Manhattan,40,3.75,7.50,coffee,Barista Espresso,Estándar,Cappuccino
385,01/01/2023,04:22:07 p. m.,121,Domingo,16,1,5,Lower Manhattan,22,2.00,2.00,coffee,Drip coffee,Sm,Our Old Time Diner Blend Sm
388,01/01/2023,04:27:42 p. m.,122,Domingo,16,1,5,Lower Manhattan,56,2.55,2.55,tea,Brewed Chai tea,Rg,Spicy Eye Opener Chai Rg
390,01/01/2023,04:28:57 p. m.,123,Domingo,16,1,5,Lower Manhattan,42,2.50,2.50,tea,Brewed herbal tea,Rg,Lemon Grass Rg
394,01/01/2023,04:35:11 p. m.,124,Domingo,16,1,5,Lower Manhattan,28,2.00,2.00,coffee,Gourmet brewed coffee,Sm,Columbian Medium Roast Sm
398,01/01/2023,04:40:19 p. m.,125,Domingo,16,1,5,Lower Manhattan,46,2.50,2.50,tea,Brewed Green tea,Rg,Serenity Green Tea Rg
399,01/01/2023,04:41:51 p. m.,126,Domingo,16,1,5,Lower Manhattan,23,2.50,2.50,coffee,Drip coffee,Rg,Our Old Time Diner Blend Rg
402,01/01/2023,04:47:05 p. m.,127,Domingo,16,1,5,Lower Manhattan,44,2.50,2.50,tea,Brewed herbal tea,Rg,Peppermint Rg
403,01/01/2023,04:47:05 p. m.,127,Domingo,16,1,5,Lower Manhattan,72,3.25,3.25,bakery,Scone,Estándar,Ginger Scone
404,01/01/2023,04:48:31 p. m.,128,Domingo,16,2,5,Lower Manhattan,44,2.50,5.00,tea,Brewed herbal tea,Rg,Peppermint Rg
405,01/01/2023,04:49:19 p. m.,129,Domingo,16,1,5,Lower Manhattan,53,3.00,3.00,tea,Brewed Chai tea,Lg,Traditional Blend Chai Lg
406,01/01/2023,04:49:19 p. m.,129,Domingo,16,1,5,Lower Manhattan,71,3.75,3.75,bakery,Pastry,Estándar,Chocolate Croissant
409,01/01/2023,04:52:51 p. m.,130,Domingo,16,1,5,Lower Manhattan,50,2.50,2.50,tea,Brewed Black tea,Rg,Earl Grey Rg
413,01/01/2023,05:01:03 p. m.,131,Domingo,17,2,5,Lower Manhattan,36,3.75,7.50,coffee,Premium brewed coffee,Lg,Jamaican Coffee River Lg
421,01/01/2023,05:13:17 p. m.,132,Domingo,17,2,5,Lower Manhattan,31,2.20,4.40,coffee,Gourmet brewed coffee,Sm,Ethiopia Sm
426,01/01/2023,05:19:08 p. m.,133,Domingo,17,2,5,Lower Manhattan,34,2.45,4.90,coffee,Premium brewed coffee,Sm,Jamaican Coffee River Sm
427,01/01/2023,05:19:08 p. m.,133,Domingo,17,1,5,Lower Manhattan,75,3.50,3.50,bakery,Pastry,Estándar,Croissant
435,01/01/2023,05:23:03 p. m.,134,Domingo,17,1,5,Lower Manhattan,48,2.50,2.50,tea,Brewed Black tea,Rg,English Breakfast Rg
440,01/01/2023,05:28:42 p. m.,135,Domingo,17,1,5,Lower Manhattan,37,3.00,3.00,coffee,Barista Espresso,Estándar,Espresso shot
441,01/01/2023,05:28:42 p. m.,135,Domingo,17,1,5,Lower Manhattan,70,3.25,3.25,bakery,Scone,Estándar,Cranberry Scone
459,01/01/2023,05:50:19 p. m.,136,Domingo,17,1,5,Lower Manhattan,45,3.00,3.00,tea,Brewed herbal tea,Lg,Peppermint Lg
464,01/01/2023,05:58:01 p. m.,137,Domingo,17,1,5,Lower Manhattan,39,4.25,4.25,coffee,Barista Espresso,Rg,Latte Rg
469,01/01/2023,06:02:21 p. m.,138,Domingo,18,2,5,Lower Manhattan,49,3.00,6.00,tea,Brewed Black tea,Lg,English Breakfast Lg
478,01/01/2023,06:13:32 p. m.,139,Domingo,18,2,5,Lower Manhattan,23,2.50,5.00,coffee,Drip coffee,Rg,Our Old Time Diner Blend Rg
483,01/01/2023,06:19:45 p. m.,140,Domingo,18,1,5,Lower Manhattan,52,2.50,2.50,tea,Brewed Chai tea,Rg,Traditional Blend Chai Rg
